model,layers,test,all/accuracy,all/precision,all/recall,all/support,ambiguous-tokens/accuracy,ambiguous-tokens/precision,ambiguous-tokens/recall,ambiguous-tokens/support,unknown-tokens/accuracy,unknown-tokens/precision,unknown-tokens/recall,unknown-tokens/support
discours_dialogue_histoire-rep,1,Caesar_BellumGallicum_CaesBG3,0.9687,0.9036,0.8907,3382,0.9149,0.8397,0.839,811,0.9043,0.6294,0.6493,188
discours_dialogue_histoire-rep,2,Caesar_BellumGallicum_CaesBG3,0.9728,0.9416,0.9491,3382,0.9186,0.8811,0.8809,811,0.9043,0.8791,0.9171,188
discours_dialogues,1,Caesar_BellumGallicum_CaesBG3,0.9391,0.8287,0.8179,3382,0.8726,0.7396,0.7964,722,0.8467,0.5361,0.4103,424
discours_dialogues,2,Caesar_BellumGallicum_CaesBG3,0.9474,0.8182,0.8232,3382,0.8684,0.7444,0.7407,722,0.875,0.4863,0.5089,424
histoire-non-republicaine,1,Caesar_BellumGallicum_CaesBG3,0.9409,0.8384,0.7957,3382,0.8427,0.7858,0.7756,674,0.8713,0.68,0.4361,474
histoire-non-republicaine,2,Caesar_BellumGallicum_CaesBG3,0.9397,0.7954,0.7656,3382,0.8368,0.7855,0.7646,674,0.8692,0.4946,0.4203,474
histoire-republicaine,1,Caesar_BellumGallicum_CaesBG3,0.9506,0.8464,0.8216,3382,0.8764,0.8147,0.7859,639,0.7722,0.3872,0.3715,281
histoire-republicaine,2,Caesar_BellumGallicum_CaesBG3,0.9471,0.9237,0.9056,3382,0.8748,0.8005,0.7935,639,0.7651,0.8076,0.5641,281
histoire,1,Caesar_BellumGallicum_CaesBG3,0.9695,0.9167,0.8931,3382,0.9148,0.8536,0.8472,786,0.9082,0.7127,0.6305,196
histoire,2,Caesar_BellumGallicum_CaesBG3,0.9737,0.918,0.8988,3382,0.9275,0.8833,0.856,786,0.9031,0.7538,0.6048,196
vers,1,Caesar_BellumGallicum_CaesBG3,0.8723,0.783,0.7739,3382,0.7952,0.7034,0.6812,669,0.7427,0.2368,0.2036,956
vers,2,Caesar_BellumGallicum_CaesBG3,0.887,0.7577,0.7436,3382,0.8236,0.6762,0.6575,669,0.7657,0.3472,0.2456,956
cesar-dialogues,1,Catullus_Catullus_Catul,0.7197,0.7082,0.6641,12324,0.7113,0.5576,0.5634,1434,0.4925,0.1105,0.0771,5297
cesar-dialogues,2,Catullus_Catullus_Catul,0.1844,0.0084,0.0341,12324,0.0105,0.0005,0.0446,1434,0.2715,0.0143,0.0382,5297
cesar-discours,1,Catullus_Catullus_Catul,0.8444,0.8607,0.8464,12324,0.7702,0.6626,0.6673,1893,0.6711,0.2072,0.1606,3475
cesar-discours,2,Catullus_Catullus_Catul,0.8574,0.8543,0.833,12324,0.7718,0.6212,0.6108,1893,0.6924,0.1196,0.141,3475
cesar-gaule,1,Catullus_Catullus_Catul,0.6757,0.582,0.5939,12324,0.6989,0.4413,0.4375,1209,0.5019,0.107,0.1393,6449
cesar-gaule,2,Catullus_Catullus_Catul,0.2812,0.0108,0.0385,12324,0.0182,0.0009,0.05,1209,0.3841,0.0167,0.0435,6449
cesar-histoire-non-gaule,1,Catullus_Catullus_Catul,0.6615,0.5497,0.5591,12324,0.7227,0.5639,0.5357,1237,0.4784,0.1091,0.1205,6748
cesar-histoire-non-gaule,2,Catullus_Catullus_Catul,0.2812,0.0108,0.0385,12324,0.0291,0.0015,0.0526,1237,0.3783,0.0172,0.0455,6748
cesar-histoire,1,Catullus_Catullus_Catul,0.7058,0.6171,0.5948,12324,0.71,0.5279,0.4888,1345,0.5211,0.0949,0.0889,5966
cesar-histoire,2,Catullus_Catullus_Catul,0.0157,0.0228,0.0382,12324,0.0015,0.0001,0.0455,1345,0.0174,0.0486,0.0475,5966
cesar-imitateurs,1,Catullus_Catullus_Catul,0.7192,0.6037,0.5901,12324,0.7439,0.5277,0.4999,1515,0.5074,0.0757,0.0838,5497
cesar-imitateurs,2,Catullus_Catullus_Catul,0.2812,0.0108,0.0385,12324,0.0416,0.002,0.0476,1515,0.4031,0.0175,0.0435,5497
discours_dialogue_histoire-rep,1,Catullus_Catullus_Catul,0.8633,0.877,0.8387,12324,0.7889,0.5866,0.5968,2179,0.7016,0.2318,0.184,3029
discours_dialogue_histoire-rep,2,Catullus_Catullus_Catul,0.874,0.8876,0.8491,12324,0.7985,0.6269,0.601,2179,0.7154,0.1384,0.2056,3029
discours_dialogues,1,Catullus_Catullus_Catul,0.8512,0.7947,0.7665,12324,0.7602,0.637,0.6487,1935,0.6922,0.2245,0.175,3311
discours_dialogues,2,Catullus_Catullus_Catul,0.8674,0.8313,0.8185,12324,0.7711,0.6093,0.5949,1935,0.7209,0.2998,0.2842,3311
histoire-non-republicaine,1,Catullus_Catullus_Catul,0.8337,0.8291,0.7417,12324,0.7663,0.6546,0.6315,1900,0.6667,0.2149,0.1384,3618
histoire-non-republicaine,2,Catullus_Catullus_Catul,0.8502,0.8311,0.7939,12324,0.7816,0.6389,0.6253,1900,0.6893,0.1815,0.1795,3618
histoire-republicaine,1,Catullus_Catullus_Catul,0.7618,0.7088,0.6728,12324,0.7314,0.5522,0.5585,1623,0.5552,0.1074,0.1,4935
histoire-republicaine,2,Catullus_Catullus_Catul,0.768,0.7021,0.6854,12324,0.7474,0.6175,0.5959,1623,0.5574,0.1427,0.1524,4935
histoire,1,Catullus_Catullus_Catul,0.8538,0.8758,0.8121,12324,0.791,0.6501,0.6393,2167,0.7084,0.1613,0.1434,3258
histoire,2,Catullus_Catullus_Catul,0.8531,0.8062,0.8079,12324,0.7785,0.6198,0.5996,2167,0.701,0.1631,0.1752,3258
vers,1,Catullus_Catullus_Catul,0.8925,0.9058,0.8594,12324,0.7894,0.6822,0.6788,2569,0.7324,0.2045,0.154,2070
vers,2,Catullus_Catullus_Catul,0.9038,0.9127,0.8648,12324,0.7964,0.6663,0.6567,2569,0.7643,0.3368,0.2949,2070
cesar-dialogues,1,Cicero_InCatilinam_CicCat1,0.8462,0.7677,0.7342,3101,0.7701,0.5747,0.6128,448,0.5839,0.0817,0.0848,745
cesar-dialogues,2,Cicero_InCatilinam_CicCat1,0.1699,0.0085,0.0335,3101,0.0089,0.0005,0.0286,448,0.4161,0.0325,0.0509,745
cesar-discours,1,Cicero_InCatilinam_CicCat1,0.9607,0.9198,0.9187,3101,0.887,0.7072,0.7449,664,0.9066,0.4606,0.4946,182
cesar-discours,2,Cicero_InCatilinam_CicCat1,0.9619,0.9117,0.911,3101,0.872,0.7129,0.7293,664,0.9066,0.3861,0.3959,182
cesar-gaule,1,Cicero_InCatilinam_CicCat1,0.783,0.5888,0.604,3101,0.7753,0.6747,0.7103,405,0.5408,0.1201,0.0983,1030
cesar-gaule,2,Cicero_InCatilinam_CicCat1,0.249,0.0104,0.0417,3101,0.0395,0.002,0.05,405,0.2893,0.0193,0.0667,1030
cesar-histoire-non-gaule,1,Cicero_InCatilinam_CicCat1,0.7462,0.5917,0.6157,3101,0.7917,0.5821,0.6491,408,0.4801,0.076,0.0659,1181
cesar-histoire-non-gaule,2,Cicero_InCatilinam_CicCat1,0.249,0.0104,0.0417,3101,0.0466,0.0023,0.05,408,0.2625,0.0154,0.0588,1181
cesar-histoire,1,Cicero_InCatilinam_CicCat1,0.7981,0.6821,0.6306,3101,0.784,0.6051,0.6685,463,0.5347,0.1393,0.1088,894
cesar-histoire,2,Cicero_InCatilinam_CicCat1,0.0193,0.0408,0.0381,3101,0.0022,0.0001,0.0476,463,0.0492,0.0703,0.0668,894
cesar-imitateurs,1,Cicero_InCatilinam_CicCat1,0.8281,0.7672,0.7182,3101,0.8084,0.663,0.6951,501,0.5723,0.1859,0.1296,795
cesar-imitateurs,2,Cicero_InCatilinam_CicCat1,0.249,0.0104,0.0417,3101,0.0798,0.004,0.05,501,0.244,0.0163,0.0667,795
discours_dialogue_histoire-rep,1,Cicero_InCatilinam_CicCat1,0.9697,0.9342,0.9513,3101,0.9137,0.8407,0.8735,765,0.9571,0.5326,0.5352,163
discours_dialogue_histoire-rep,2,Cicero_InCatilinam_CicCat1,0.9671,0.927,0.9361,3101,0.8993,0.814,0.828,765,0.9387,0.4154,0.4577,163
discours_dialogues,1,Cicero_InCatilinam_CicCat1,0.961,0.9188,0.9133,3101,0.8796,0.7009,0.7495,673,0.9227,0.409,0.4192,181
discours_dialogues,2,Cicero_InCatilinam_CicCat1,0.9729,0.9392,0.9397,3101,0.9168,0.8111,0.8229,673,0.9116,0.3902,0.4033,181
histoire-non-republicaine,1,Cicero_InCatilinam_CicCat1,0.9074,0.8218,0.8027,3101,0.837,0.7778,0.7726,632,0.7642,0.2291,0.1823,530
histoire-non-republicaine,2,Cicero_InCatilinam_CicCat1,0.9171,0.8496,0.8117,3101,0.8339,0.688,0.7466,632,0.7887,0.1722,0.1705,530
histoire-republicaine,1,Cicero_InCatilinam_CicCat1,0.87,0.8744,0.8344,3101,0.8048,0.7277,0.7336,543,0.626,0.1976,0.1662,623
histoire-republicaine,2,Cicero_InCatilinam_CicCat1,0.8723,0.8297,0.7887,3101,0.8048,0.6781,0.7483,543,0.6244,0.2895,0.2032,623
histoire,1,Cicero_InCatilinam_CicCat1,0.9233,0.8944,0.8885,3101,0.8482,0.7594,0.7766,731,0.8325,0.3394,0.3221,406
histoire,2,Cicero_InCatilinam_CicCat1,0.9355,0.9095,0.9035,3101,0.87,0.8011,0.7826,731,0.8374,0.3619,0.3922,406
vers,1,Cicero_InCatilinam_CicCat1,0.8833,0.8215,0.7992,3101,0.8265,0.6631,0.699,686,0.7085,0.1957,0.1868,693
vers,2,Cicero_InCatilinam_CicCat1,0.8868,0.763,0.7506,3101,0.8061,0.5947,0.5938,686,0.7388,0.1936,0.1568,693
cesar-dialogues,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.7767,0.7069,0.6615,6795,0.7696,0.6841,0.6886,829,0.5682,0.0695,0.072,2626
cesar-dialogues,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.1971,0.01,0.0365,6795,0.0169,0.0061,0.0529,829,0.3442,0.0204,0.0437,2626
cesar-discours,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9048,0.8549,0.8024,6795,0.8369,0.7286,0.7497,1165,0.7947,0.2857,0.2626,1388
cesar-discours,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.921,0.8682,0.8337,6795,0.8438,0.7417,0.773,1165,0.8365,0.4677,0.3725,1388
cesar-gaule,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8041,0.7191,0.6477,6795,0.7818,0.6634,0.6232,770,0.5899,0.1059,0.1511,2548
cesar-gaule,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.3216,0.0134,0.0417,6795,0.0455,0.0025,0.0556,770,0.4137,0.0218,0.0526,2548
cesar-histoire-non-gaule,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8001,0.6725,0.648,6795,0.8181,0.6699,0.6061,742,0.5958,0.1018,0.1323,2637
cesar-histoire-non-gaule,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.3216,0.0134,0.0417,6795,0.0243,0.0013,0.0556,742,0.4156,0.0198,0.0476,2637
cesar-histoire,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8389,0.7724,0.6949,6795,0.8014,0.68,0.6703,841,0.6441,0.0974,0.0795,2175
cesar-histoire,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.0019,0.0001,0.0387,6795,0.0,0.0,0.0,841,0.0032,0.0002,0.0556,2175
cesar-imitateurs,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8372,0.7825,0.7195,6795,0.7968,0.6192,0.5695,935,0.6158,0.1436,0.1483,1991
cesar-imitateurs,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.3216,0.0134,0.0417,6795,0.0481,0.0025,0.0526,935,0.4144,0.0259,0.0625,1991
discours_dialogue_histoire-rep,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9375,0.9226,0.9129,6795,0.8566,0.8083,0.8464,1374,0.8644,0.4211,0.3583,988
discours_dialogue_histoire-rep,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9455,0.9277,0.9101,6795,0.8632,0.8049,0.8343,1374,0.8785,0.5746,0.5702,988
discours_dialogues,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9124,0.8458,0.8281,6795,0.8554,0.7687,0.7726,1203,0.8038,0.2725,0.2443,1330
discours_dialogues,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9238,0.8584,0.8307,6795,0.8421,0.7261,0.7627,1203,0.8398,0.4372,0.3441,1330
histoire-non-republicaine,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.951,0.8567,0.8117,6795,0.8652,0.816,0.7915,1283,0.8542,0.4225,0.3395,590
histoire-non-republicaine,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9569,0.8901,0.8143,6795,0.8737,0.803,0.7975,1283,0.8746,0.4369,0.3497,590
histoire-republicaine,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8877,0.8691,0.7778,6795,0.8071,0.6966,0.6918,1011,0.7136,0.2485,0.2365,1627
histoire-republicaine,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8833,0.8999,0.8268,6795,0.8249,0.6953,0.6391,1011,0.6804,0.1399,0.1855,1627
histoire,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9595,0.9344,0.8914,6795,0.8906,0.8496,0.8253,1453,0.8821,0.6614,0.6868,492
histoire,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.9645,0.9471,0.9016,6795,0.9009,0.8645,0.8417,1453,0.8882,0.5303,0.5248,492
vers,1,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8753,0.7572,0.6953,6795,0.8031,0.6315,0.6599,1351,0.7528,0.2577,0.2061,1711
vers,2,Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,0.8877,0.7618,0.7013,6795,0.8098,0.6929,0.7122,1351,0.7972,0.3035,0.1996,1711
cesar-dialogues,1,Sallustius_Catilina_SalCatil,0.8202,0.8186,0.7396,10044,0.7128,0.5509,0.5919,1372,0.572,0.0852,0.1276,2701
cesar-dialogues,2,Sallustius_Catilina_SalCatil,0.157,0.0079,0.0328,10044,0.0124,0.0035,0.032,1372,0.3288,0.0202,0.0401,2701
cesar-discours,1,Sallustius_Catilina_SalCatil,0.93,0.8976,0.898,10044,0.8426,0.7254,0.7659,2008,0.7811,0.2824,0.1875,1142
cesar-discours,2,Sallustius_Catilina_SalCatil,0.9378,0.9083,0.9083,10044,0.8431,0.6941,0.7465,2008,0.8179,0.3767,0.3007,1142
cesar-gaule,1,Sallustius_Catilina_SalCatil,0.8182,0.6983,0.6572,10044,0.8063,0.6446,0.6516,1296,0.5792,0.1163,0.1071,3163
cesar-gaule,2,Sallustius_Catilina_SalCatil,0.3261,0.0136,0.0417,10044,0.061,0.0029,0.0476,1296,0.3759,0.0188,0.05,3163
cesar-histoire-non-gaule,1,Sallustius_Catilina_SalCatil,0.8075,0.757,0.6774,10044,0.8097,0.5703,0.6642,1293,0.5494,0.0794,0.0771,3238
cesar-histoire-non-gaule,2,Sallustius_Catilina_SalCatil,0.3261,0.0136,0.0417,10044,0.0828,0.0039,0.0476,1293,0.3687,0.0176,0.0476,3238
cesar-histoire,1,Sallustius_Catilina_SalCatil,0.8489,0.8269,0.7438,10044,0.8143,0.6093,0.698,1481,0.6153,0.1625,0.1235,2529
cesar-histoire,2,Sallustius_Catilina_SalCatil,0.0041,0.0202,0.04,10044,0.0027,0.0001,0.0455,1481,0.0051,0.0479,0.0477,2529
cesar-imitateurs,1,Sallustius_Catilina_SalCatil,0.877,0.8077,0.7621,10044,0.8346,0.5782,0.6214,1699,0.5931,0.113,0.0972,1853
cesar-imitateurs,2,Sallustius_Catilina_SalCatil,0.3261,0.0136,0.0417,10044,0.1212,0.0055,0.0455,1699,0.3546,0.0197,0.0556,1853
discours_dialogue_histoire-rep,1,Sallustius_Catilina_SalCatil,0.956,0.9148,0.9384,10044,0.8751,0.7091,0.7726,2265,0.8846,0.7707,0.6048,589
discours_dialogue_histoire-rep,2,Sallustius_Catilina_SalCatil,0.9596,0.9322,0.9272,10044,0.8715,0.7378,0.7777,2265,0.8998,0.7791,0.6059,589
discours_dialogues,1,Sallustius_Catilina_SalCatil,0.9364,0.8967,0.8987,10044,0.8449,0.6691,0.6769,2044,0.8121,0.2703,0.1834,1011
discours_dialogues,2,Sallustius_Catilina_SalCatil,0.9467,0.9177,0.9208,10044,0.8542,0.7126,0.7371,2044,0.8546,0.4318,0.337,1011
histoire-non-republicaine,1,Sallustius_Catilina_SalCatil,0.9252,0.9039,0.8639,10044,0.8354,0.6966,0.7446,1968,0.762,0.2714,0.1747,1252
histoire-non-republicaine,2,Sallustius_Catilina_SalCatil,0.9351,0.8808,0.8404,10044,0.8389,0.6891,0.7355,1968,0.8099,0.4256,0.3534,1252
histoire-republicaine,1,Sallustius_Catilina_SalCatil,0.9152,0.9162,0.8483,10044,0.8333,0.6333,0.666,1794,0.6926,0.1411,0.1312,1399
histoire-republicaine,2,Sallustius_Catilina_SalCatil,0.9139,0.892,0.8519,10044,0.8434,0.633,0.7201,1794,0.6891,0.2215,0.1567,1399
histoire,1,Sallustius_Catilina_SalCatil,0.9523,0.9028,0.9142,10044,0.8841,0.6778,0.7108,2269,0.8577,0.6622,0.4614,752
histoire,2,Sallustius_Catilina_SalCatil,0.9553,0.9403,0.9228,10044,0.8814,0.6743,0.724,2269,0.879,0.7729,0.6652,752
vers,1,Sallustius_Catilina_SalCatil,0.8616,0.809,0.7839,10044,0.7878,0.5686,0.6079,2036,0.6824,0.1746,0.1339,2440
vers,2,Sallustius_Catilina_SalCatil,0.876,0.7899,0.7563,10044,0.8011,0.6044,0.654,2036,0.7217,0.1968,0.1475,2440
